subject_name,question_text,option_1,option_2,option_3,option_4,correct_answer,explanation,difficulty,source,tags,chapter,year
보안사고대응,보안 사고 대응 절차로 올바른 순서는?,탐지→격리→분석→복구,분석→탐지→격리→복구,격리→탐지→분석→복구,복구→탐지→격리→분석,1,보안 사고 대응은 탐지 → 격리 → 분석 → 복구 순서로 진행됩니다.,보통,침해대응론,대응절차,1장,2023
보안사고대응,디지털 포렌식에서 '무결성'을 확인하는 방법으로 가장 적절한 것은?,파일 크기 비교,해시값 비교,수정 날짜 확인,파일명 확인,2,해시값(MD5, SHA256 등)을 이용하여 데이터의 무결성을 검증합니다.,보통,디지털포렌식,무결성,1장,2023
보안사고대응,랜섬웨어 피해 발생 시 가장 먼저 해야 할 조치는?,몸값 지불,감염 시스템 격리,백신 소프트웨어 설치,경찰 신고,2,랜섬웨어 감염 시 추가 피해 확산을 막기 위해 즉시 네트워크에서 격리해야 합니다.,보통,침해대응론,랜섬웨어,2장,2023
보안사고대응,침해사고 분석 시 사용하는 도구가 아닌 것은?,Wireshark,FTK Imager,Autopsy,Photoshop,4,Photoshop은 이미지 편집 도구로 침해사고 분석에 사용되지 않습니다.,쉬움,디지털포렌식,도구,2장,2023
보안사고대응,보안 사고 발생 후 작성하는 보고서에 포함되지 않아도 되는 것은?,사고 발생 일시,피해 범위,재발 방지 대책,담당자 급여 정보,4,담당자 급여 정보는 보안 사고 보고서와 무관합니다.,쉬움,침해대응론,보고서,3장,2023
보안지식경영,지식관리 시스템(KMS)의 주요 목적은?,개인 지식 독점,조직 내 지식 공유 및 활용,외부 기술 유출,영업 비밀 공개,2,KMS는 조직 구성원의 지식을 수집·공유·활용하여 조직 역량을 높이는 것이 목적입니다.,보통,지식경영론,KMS,1장,2023
보안지식경영,보안 교육훈련 프로그램 설계 시 가장 먼저 고려해야 할 것은?,교육 예산,교육 대상자 분석,강사 섭외,교육 장소 선정,2,교육 프로그램은 교육 대상자의 역할과 수준 분석이 선행되어야 합니다.,보통,교육훈련론,교육설계,1장,2023
보안지식경영,암묵지(Tacit Knowledge)에 해당하는 것은?,공식 매뉴얼,법령 및 규정,숙련된 기술자의 경험,데이터베이스 정보,3,암묵지는 개인의 경험·직관·노하우 등 형식화하기 어려운 지식입니다.,어려움,지식경영론,암묵지,2장,2023
보안지식경영,보안 컴플라이언스(Compliance)의 의미로 가장 적절한 것은?,보안 사고 대응,법규 및 규정 준수,직원 보안 교육,기술 개발 투자,2,컴플라이언스는 법률·규정·표준 등을 준수하는 것을 의미합니다.,보통,컴플라이언스,개념,2장,2023
보안지식경영,정보보호 거버넌스의 핵심 요소가 아닌 것은?,전략적 정렬,위험 관리,자원 관리,제품 개발,4,정보보호 거버넌스는 전략적 정렬·위험 관리·자원 관리·성과 측정·가치 전달이 핵심 요소입니다.,어려움,거버넌스,핵심요소,3장,2023
